[DEBUG] 2023-02-26 01:25:27.757 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-02-26 01:25:27.766 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-02-26 01:25:27.773 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-02-26 01:25:27.896 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-02-26 01:25:27.900 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-02-26 01:25:28.162 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-02-26 01:25:28.485 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-02-26 01:25:28.515 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-02-26 01:25:28.517 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-02-26 01:25:28.543 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-02-26 01:25:28.597 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@70101687
[DEBUG] 2023-02-26 01:25:28.597 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@70101687
[DEBUG] 2023-02-26 01:25:28.597 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@70101687
[DEBUG] 2023-02-26 01:25:28.598 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@21618fa7
[DEBUG] 2023-02-26 01:25:28.599 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@604b1e1d
[DEBUG] 2023-02-26 01:25:28.600 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@f1a45f8
[DEBUG] 2023-02-26 01:25:28.601 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40f8f5a8
[DEBUG] 2023-02-26 01:25:28.601 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40f8f5a8
[DEBUG] 2023-02-26 01:25:28.602 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@40f8f5a8
[DEBUG] 2023-02-26 01:25:28.603 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7f572c37
[DEBUG] 2023-02-26 01:25:28.603 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7f572c37
[DEBUG] 2023-02-26 01:25:28.603 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7f572c37
[DEBUG] 2023-02-26 01:25:28.604 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@c808207
[DEBUG] 2023-02-26 01:25:28.604 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@c808207
[DEBUG] 2023-02-26 01:25:28.604 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@c808207
[DEBUG] 2023-02-26 01:25:28.605 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@62628e78
[DEBUG] 2023-02-26 01:25:28.605 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@62628e78
[DEBUG] 2023-02-26 01:25:28.605 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@62628e78
[DEBUG] 2023-02-26 01:25:28.607 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ac0b715
[DEBUG] 2023-02-26 01:25:28.607 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@6ac0b715
[DEBUG] 2023-02-26 01:25:28.608 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6ac0b715
[DEBUG] 2023-02-26 01:25:28.609 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@60acd609
[DEBUG] 2023-02-26 01:25:28.609 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@60acd609
[DEBUG] 2023-02-26 01:25:28.610 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@60acd609
[DEBUG] 2023-02-26 01:25:28.611 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@30d25c03
[DEBUG] 2023-02-26 01:25:28.611 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@30d25c03
[DEBUG] 2023-02-26 01:25:28.612 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@30d25c03
[DEBUG] 2023-02-26 01:25:28.613 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@55ec556
[DEBUG] 2023-02-26 01:25:28.613 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@55ec556
[DEBUG] 2023-02-26 01:25:28.614 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@3533df16
[DEBUG] 2023-02-26 01:25:28.614 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@3533df16
[DEBUG] 2023-02-26 01:25:28.615 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@270b6b5e
[DEBUG] 2023-02-26 01:25:28.615 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@270b6b5e
[DEBUG] 2023-02-26 01:25:28.616 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3e6534e7
[DEBUG] 2023-02-26 01:25:28.616 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4d96250
[DEBUG] 2023-02-26 01:25:28.617 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1de6932a
[DEBUG] 2023-02-26 01:25:28.617 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1de6932a
[DEBUG] 2023-02-26 01:25:28.618 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@778db7c5
[DEBUG] 2023-02-26 01:25:28.618 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@778db7c5
[DEBUG] 2023-02-26 01:25:28.629 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@573284a5
[DEBUG] 2023-02-26 01:25:28.629 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@573284a5
[DEBUG] 2023-02-26 01:25:28.631 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@64a9d48c
[DEBUG] 2023-02-26 01:25:28.631 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@64a9d48c
[DEBUG] 2023-02-26 01:25:28.633 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1cb7936c
[DEBUG] 2023-02-26 01:25:28.634 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1cb7936c
[DEBUG] 2023-02-26 01:25:28.635 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@77a2aa4a
[DEBUG] 2023-02-26 01:25:28.635 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@77a2aa4a
[DEBUG] 2023-02-26 01:25:28.636 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6d5037a9
[DEBUG] 2023-02-26 01:25:28.636 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6d5037a9
[DEBUG] 2023-02-26 01:25:28.638 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3bbf9027
[DEBUG] 2023-02-26 01:25:28.638 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3bbf9027
[DEBUG] 2023-02-26 01:25:28.642 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bdd2027
[DEBUG] 2023-02-26 01:25:28.642 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@bdd2027
[DEBUG] 2023-02-26 01:25:28.644 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@19058533
[DEBUG] 2023-02-26 01:25:28.644 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@19058533
[DEBUG] 2023-02-26 01:25:28.646 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@7159a5cd
[DEBUG] 2023-02-26 01:25:28.646 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@7159a5cd
[DEBUG] 2023-02-26 01:25:28.648 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@174e1b69
